episode,step,front,back,state,allowed_actions,action,reward,next_front,next_back,next_state,q_value,epsilon
1,0,225,55,F:medium|B:blocked,slow_forward|turn_left|turn_right,slow_forward,2.9,204,77,F:medium|B:blocked,0.9134,0.15
1,1,204,77,F:medium|B:blocked,slow_forward|turn_left|turn_right,slow_forward,2.7,181,96,F:medium|B:clear,1.2983,0.15
1,2,181,96,F:medium|B:clear,slow_forward|turn_left|turn_right,turn_left,-3.0,132,352,F:near|B:clear,-0.4925,0.15
1,3,132,352,F:near|B:clear,turn_left|turn_right,turn_left,-8.0,384,119,F:clear|B:clear,-1.1148,0.15
1,4,384,119,F:clear|B:clear,forward|slow_forward,slow_forward,3.9,363,137,F:clear|B:clear,0.9862,0.15
1,5,363,137,F:clear|B:clear,forward|slow_forward,slow_forward,3.7,340,270,F:clear|B:clear,1.6309,0.15
1,6,340,270,F:clear|B:clear,forward|slow_forward,slow_forward,3.7,317,294,F:medium|B:clear,2.0667,0.15
1,7,317,294,F:medium|B:clear,slow_forward|turn_left|turn_right,slow_forward,2.5,292,604,F:medium|B:clear,0.8414,0.15
1,8,292,604,F:medium|B:clear,slow_forward|turn_left|turn_right,slow_forward,2.7,269,629,F:medium|B:clear,1.3092,0.15
1,9,269,629,F:medium|B:clear,slow_forward|turn_left|turn_right,slow_forward,1.6,235,999,F:medium|B:clear,1.5689,0.15
1,10,235,999,F:medium|B:clear,slow_forward|turn_left|turn_right,slow_forward,3.0,215,673,F:medium|B:clear,2.075,0.15
1,11,215,673,F:medium|B:clear,slow_forward|turn_left|turn_right,slow_forward,3.6,201,999,F:medium|B:clear,2.6782,0.15
1,12,201,999,F:medium|B:clear,slow_forward|turn_left|turn_right,slow_forward,-12.0,180,999,F:near|B:clear,0.0836,0.15
1,13,180,999,F:near|B:clear,turn_left|turn_right,turn_left,-4.0,121,138,F:near|B:clear,-0.4265,0.15
1,14,121,138,F:near|B:clear,turn_left|turn_right,turn_left,-8.0,422,156,F:clear|B:clear,-0.8666,0.15
1,15,422,156,F:clear|B:clear,forward|slow_forward,slow_forward,5.4,416,178,F:clear|B:clear,2.9941,0.15
1,16,416,178,F:clear|B:clear,forward|slow_forward,slow_forward,-4.0,276,195,F:medium|B:clear,1.7985,0.15
1,17,276,195,F:medium|B:clear,slow_forward|turn_left|turn_right,slow_forward,2.6,252,117,F:medium|B:clear,0.8594,0.15
1,18,252,117,F:medium|B:clear,slow_forward|turn_left|turn_right,slow_forward,1.9,221,145,F:medium|B:clear,1.1828,0.15
1,19,221,145,F:medium|B:clear,slow_forward|turn_left|turn_right,slow_forward,-25.0,32,999,F:extreme|B:clear,-3.4667,0.15
1,20,32,999,F:extreme|B:clear,escape_left|escape_right,escape_left,20.4,116,108,F:near|B:clear,4.0475,0.15
1,21,116,108,F:near|B:clear,turn_left|turn_right,turn_left,-8.0,90,120,F:danger|B:clear,-1.1386,0.15
1,22,90,120,F:danger|B:clear,turn_left|turn_right,turn_right,14.6,136,106,F:near|B:clear,2.9625,0.15
1,23,136,106,F:near|B:clear,turn_left|turn_right,turn_left,-4.0,110,125,F:near|B:clear,-0.4265,0.15
1,24,110,125,F:near|B:clear,turn_left|turn_right,turn_left,-8.0,136,999,F:near|B:clear,-1.1465,0.15
1,25,136,999,F:near|B:clear,turn_left|turn_right,turn_right,-4.0,87,173,F:danger|B:clear,-0.0047,0.15
